Year,Month,YearMonth,Date,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,3,201003,01-Mar-10,Geraldton,Perth,Geraldton - Perth,444,656.2058824,,,,,,,,
2010,3,201003,01-Mar-10,Gold Coast,Sydney,Gold Coast - Sydney,86,127.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Hamilton Island,Sydney,Hamilton Island - Sydney,374,552.75,,,,,,,,
2010,3,201003,01-Mar-10,Hervey Bay,Sydney,Hervey Bay - Sydney,350,517.2794118,,,,,,,,
2010,3,201003,01-Mar-10,Hobart,Melbourne,Hobart - Melbourne,56,82.76470588,,,,,,,,
2010,3,201003,01-Mar-10,Hobart,Sydney,Hobart - Sydney,198,292.6323529,,,,,,,,
2010,3,201003,01-Mar-10,Kalgoorlie,Perth,Kalgoorlie - Perth,359,530.5808824,,,,,,,,
2010,3,201003,01-Mar-10,Karratha,Perth,Karratha - Perth,358,529.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Launceston,Melbourne,Launceston - Melbourne,56,82.76470588,,,,,,,,
2010,3,201003,01-Mar-10,Launceston,Sydney,Launceston - Sydney,249.9,369.3375,,,,,,,,
2010,3,201003,01-Mar-10,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,230.5588235,,,,,,,,
2010,3,201003,01-Mar-10,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,307.4117647,,,,,,,,
2010,3,201003,01-Mar-10,Melbourne,Gold Coast,Melbourne - Gold Coast,186,274.8970588,,,,,,,,
2010,3,201003,01-Mar-10,Melbourne,Mildura,Melbourne - Mildura,198,292.6323529,,,,,,,,
2010,3,201003,01-Mar-10,Melbourne,Perth,Melbourne - Perth,376,555.7058824,,,,,,,,
2010,3,201003,01-Mar-10,Melbourne,Sydney,Melbourne - Sydney,66,97.54411765,,,,,,,,
2010,3,201003,01-Mar-10,Melbourne,Newcastle,Melbourne - Newcastle,158,233.5147059,,,,,,,,
2010,3,201003,01-Mar-10,Paraburdoo,Perth,Paraburdoo - Perth,409,604.4779412,,,,,,,,
2010,3,201003,01-Mar-10,Perth,Newman,Perth - Newman,348,514.3235294,,,,,,,,
2010,3,201003,01-Mar-10,Perth,Port Hedland,Perth - Port Hedland,358,529.1029412,,,,,,,,
2010,3,201003,01-Mar-10,Perth,Sydney,Perth - Sydney,478,706.4558824,,,,,,,,
2010,3,201003,01-Mar-10,Port Macquarie,Sydney,Port Macquarie - Sydney,158,233.5147059,,,,,,,,
2010,3,201003,01-Mar-10,Sydney,Tamworth,Sydney - Tamworth,190,280.8088235,,,,,,,,
2010,3,201003,01-Mar-10,Sydney,Townsville,Sydney - Townsville,228,336.9705882,,,,,,,,
2010,3,201003,01-Mar-10,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,316.2794118,,,,,,,,
2010,3,201003,01-Mar-10,Newcastle,Gold Coast,Newcastle - Gold Coast,154,227.6029412,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Brisbane,Adelaide - Brisbane,198,290.7995825,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Canberra,Adelaide - Canberra,224,328.9853862,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Darwin,Adelaide - Darwin,348,511.1022965,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Gold Coast,Adelaide - Gold Coast,127,186.5229645,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Melbourne,Adelaide - Melbourne,38,55.81002088,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Perth,Adelaide - Perth,298,437.6680585,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,261.0734029,,,,,,,,
2010,4,201004,01-Apr-10,Adelaide,Sydney,Adelaide - Sydney,116,170.3674322,,,,,,,,
